Comment,Designator,Footprint,LCSC Part #
B2P-VH(LF)(SN),J1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
0.5A/60V,F1,Fuse_1812_4532Metric,C70113
SS36,"D1,D3",D_SMA,C16015
SMBJ33A,D2,D_SMB,C353366
47uF/50V,C1,CP_Elec_6.3x7.7,C970679
4.7uF,"C2,C3",C_1206_3216Metric,C29823
100k,"R6,R19,R21",R_0603_1608Metric,C25803
10k,"R5,R7,R10,R13,R16,R22,R29",R_0603_1608Metric,C25804
100nF,"C4,C5,C11,C18,C19,C20,C21,C22,C23,C24,C30,C34,C35",C_0603_1608Metric,C14663
LMR16020PDDAR,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C190006
270k,R1,R_0603_1608Metric,C22965
49.9k,R2,R_0603_1608Metric,C23184
41.2k,"R3,R4",R_0603_1608Metric,C23166
10uH,L1,IND-SMD_L7.3-W6.6_MHCI06030,C207842
22uF,"C6,C7,C10",C_1206_3216Metric,C87996
470uF/6.3V,"C8,C9,C14,C33",CP_Elec_6.3x7.7,C54321567
SMAZ5V1,D4,D_SMA,C154748
BAT54WS,D5,D_SOD-323,C3040452
1uF,"C15,C16",C_0603_1608Metric,C15849
ME6211C33M5G-N,U2,SOT-23-5,C82942
STM32G030K8T6TR,U3,LQFP-32_7x7mm_P0.8mm,C724044
10uF,C17,C_0805_2012Metric,C15850
FM25L16B-GTR,U4,SOIC-8_3.9x4.9mm_P1.27mm,C466849
B2B-XH-A(LF)(SN),J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
2.2k,"R11,R14",R_1206_3216Metric,C17948
1N4148W,"D6,D7,D8,D9",D_SOD-123,C81598
EL817S1(B)(TU)-F,"U5,U6",SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,C63268
4.7k,"R12,R15",R_0603_1608Metric,C23162
B3B-XH-A(LF)(SN),J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
EG800KEULC-I03-SNNSA,U7,LGA-109_L17.7-W15.8-AIR780E,C44008839
33pF,"C12,C25,C26,C27",C_0402_1005Metric,C1562
10pF,C13,C_0402_1005Metric,C32949
3.9pF,C31,C_0402_1005Metric,C1566
1.8pF,C32,C_0402_1005Metric,C1553
TXS0102DCUR,U9,VSSOP-8_2.3x2mm_P0.5mm,C53434
2N7002,"Q1,Q2",SOT-23,C8545
1k,"R18,R20,R27,R28",R_0603_1608Metric,C21190
NANO SIM XG6P H1.35,J4,SIM-SMD_NANO-SIM-XG6P-H1.35,C7529386
22Ω,"R23,R24,R25",R_0603_1608Metric,C23345
15k,R30,R_0603_1608Metric,C22809
SRV05-4,U8,SOT-23-6,C2836319
0Ω,R26,R_0402_1005Metric,C17168
U.FL-R-SMT-1(80),J5,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
зелёный,D10,LED_0805_2012Metric,C84260
красный,D11,LED_0805_2012Metric,C84256
TS-1187A-B-A-B,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
