Designator,Mid X,Mid Y,Layer,Rotation
C1,118.8000mm,-119.5000mm,Top,0.0
C2,120.6000mm,-109.0000mm,Top,90.0
C3,123.0000mm,-109.0000mm,Top,90.0
C4,125.2000mm,-107.4000mm,Top,-90.0
C5,130.0000mm,-103.8000mm,Top,0.0
C6,145.0000mm,-105.0000mm,Top,90.0
C7,145.0000mm,-110.0000mm,Top,90.0
C8,152.0000mm,-107.0000mm,Top,90.0
C9,160.0000mm,-107.0000mm,Top,90.0
C10,153.8000mm,-114.9000mm,Top,0.0
C11,158.6000mm,-114.9000mm,Top,0.0
C12,154.6000mm,-112.6000mm,Top,0.0
C13,156.5000mm,-112.6000mm,Top,0.0
C14,131.5000mm,-144.8000mm,Top,0.0
C15,124.0000mm,-123.0000mm,Top,90.0
C16,127.0000mm,-126.2000mm,Top,0.0
C17,129.0000mm,-128.8000mm,Top,90.0
C18,130.9000mm,-130.6000mm,Top,90.0
C19,131.9000mm,-138.5000mm,Top,90.0
C20,129.3000mm,-132.6000mm,Top,90.0
C21,142.0000mm,-120.0000mm,Top,90.0
C22,126.0000mm,-134.5000mm,Top,90.0
C23,126.0000mm,-147.0000mm,Top,90.0
C24,150.0000mm,-141.0000mm,Top,90.0
C25,150.0000mm,-144.0000mm,Top,90.0
C26,150.0000mm,-146.5000mm,Top,90.0
C27,150.0000mm,-149.0000mm,Top,90.0
C30,140.2000mm,-144.0000mm,Top,90.0
C31,158.4000mm,-112.6000mm,Top,0.0
C32,160.3000mm,-112.6000mm,Top,0.0
C33,167.5000mm,-107.0000mm,Top,90.0
C34,138.0000mm,-136.9500mm,Top,0.0
C35,134.2000mm,-136.9500mm,Top,0.0
D1,112.3000mm,-117.0000mm,Top,90.0
D2,116.9000mm,-110.0000mm,Top,90.0
D3,136.2000mm,-114.4000mm,Top,-90.0
D4,173.3000mm,-111.5000mm,Top,90.0
D5,148.5000mm,-115.0000mm,Top,0.0
D6,110.5000mm,-129.0000mm,Top,0.0
D7,110.5000mm,-132.0000mm,Top,0.0
D8,110.5000mm,-141.5000mm,Top,0.0
D9,110.5000mm,-144.5000mm,Top,0.0
D10,130.0000mm,-152.4000mm,Top,0.0
D11,134.0000mm,-152.4000mm,Top,0.0
F1,112.3000mm,-110.0000mm,Top,90.0
J1,104.5000mm,-110.0000mm,Top,-90.0
J2,104.5000mm,-128.0000mm,Top,-90.0
J3,104.5000mm,-140.0000mm,Top,-90.0
J4,160.0000mm,-145.0000mm,Top,0.0
J5,175.5000mm,-118.4000mm,Top,0.0
L1,139.5000mm,-107.5000mm,Top,0.0
Q1,147.5000mm,-124.0000mm,Top,0.0
Q2,146.6000mm,-132.0000mm,Top,0.0
R1,126.2000mm,-114.0000mm,Top,90.0
R2,127.9000mm,-114.0000mm,Top,90.0
R3,129.6000mm,-114.0000mm,Top,90.0
R4,131.3000mm,-114.0000mm,Top,90.0
R5,133.0000mm,-114.0000mm,Top,90.0
R6,128.5000mm,-138.5000mm,Top,90.0
R7,130.2000mm,-138.5000mm,Top,90.0
R10,142.0000mm,-123.0000mm,Top,90.0
R11,110.5000mm,-126.0000mm,Top,0.0
R12,122.0000mm,-134.5000mm,Top,90.0
R13,124.0000mm,-134.5000mm,Top,90.0
R14,110.5000mm,-138.5000mm,Top,0.0
R15,122.0000mm,-147.0000mm,Top,90.0
R16,124.0000mm,-147.0000mm,Top,90.0
R18,144.5000mm,-124.5000mm,Top,90.0
R19,144.5000mm,-127.6000mm,Top,90.0
R20,143.2000mm,-133.0000mm,Top,90.0
R21,143.2000mm,-136.1000mm,Top,90.0
R22,147.5000mm,-136.2000mm,Top,0.0
R23,150.2000mm,-129.4000mm,Top,180.0
R24,150.2000mm,-131.0000mm,Top,180.0
R25,150.2000mm,-132.6000mm,Top,180.0
R26,170.0000mm,-118.4000mm,Top,0.0
R27,130.0000mm,-150.2000mm,Top,0.0
R28,134.0000mm,-150.2000mm,Top,0.0
R29,138.5000mm,-144.0000mm,Top,90.0
R30,148.3000mm,-138.6000mm,Top,90.0
SW1,142.5000mm,-148.5000mm,Top,0.0
U1,130.0000mm,-108.0000mm,Top,-90.0
U2,127.0000mm,-123.0000mm,Top,0.0
U3,137.0000mm,-131.0000mm,Top,0.0
U4,137.5000mm,-121.0000mm,Top,0.0
U5,119.5000mm,-129.5000mm,Top,0.0
U6,119.5000mm,-142.0000mm,Top,0.0
U7,160.0000mm,-125.0000mm,Top,0.0
U8,151.5000mm,-137.5000mm,Top,180.0
U9,136.0000mm,-139.5000mm,Top,180.0
